index,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,version,time_range,start_year,end_year,path
0,ScenarioMIP,CMCC,CMCC-ESM2,ssp585,r1i1p1f1,day,tasmax,gn,v20210126,20150101-20391231,2015,2039,/home/jovyan/datahub/notebooks-shared/CMIP6/data/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp585/r1i1p1f1/day/tasmax/gn/v20210126/tasmax_day_CMCC-ESM2_ssp585_r1i1p1f1_gn_20150101-20391231.nc
1,ScenarioMIP,CMCC,CMCC-ESM2,ssp585,r1i1p1f1,day,tasmax,gn,v20210126,20400101-20641231,2040,2064,/home/jovyan/datahub/notebooks-shared/CMIP6/data/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp585/r1i1p1f1/day/tasmax/gn/v20210126/tasmax_day_CMCC-ESM2_ssp585_r1i1p1f1_gn_20400101-20641231.nc
2,ScenarioMIP,CMCC,CMCC-ESM2,ssp585,r1i1p1f1,day,tasmax,gn,v20210126,20650101-20891231,2065,2089,/home/jovyan/datahub/notebooks-shared/CMIP6/data/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp585/r1i1p1f1/day/tasmax/gn/v20210126/tasmax_day_CMCC-ESM2_ssp585_r1i1p1f1_gn_20650101-20891231.nc
3,ScenarioMIP,CMCC,CMCC-ESM2,ssp585,r1i1p1f1,day,tasmax,gn,v20210126,20900101-21001231,2090,2100,/home/jovyan/datahub/notebooks-shared/CMIP6/data/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp585/r1i1p1f1/day/tasmax/gn/v20210126/tasmax_day_CMCC-ESM2_ssp585_r1i1p1f1_gn_20900101-21001231.nc
